0.000606,-0.000128,0.779868,0.003238,0.023534,-0.070976,0.997195,-0.190791,0.179874,0.319062,0.446640,-0.278292,-0.041495,-0.200741,-0.210048,-0.320937,0.416376,-0.300216,0.093906,-0.005507,-0.003180,0.002137,-0.171327,1.710336,0.134352,1.171921,-0.009570,0.010702,0.370233,-0.145459,-1.661460,-0.083894,1.117313,-0.096474,-0.048090,-0.306177
0.000565,-0.000134,0.778505,0.004976,0.026533,-0.073249,0.996948,-0.203150,0.188144,0.333717,0.467656,-0.295228,-0.045593,-0.212670,-0.220919,-0.325866,0.434775,-0.315055,0.101499,-0.002469,-0.006645,-0.002972,-0.174326,1.676364,0.154378,1.061953,0.025205,0.114420,0.402842,-0.166197,-1.609322,-0.122216,1.006337,-0.174423,0.060125,-0.316105
0.000248,-0.000043,0.778132,0.005937,0.029475,-0.075353,0.996704,-0.209719,0.189649,0.339086,0.471238,-0.298116,-0.046058,-0.219724,-0.221976,-0.322655,0.434946,-0.315847,0.102330,-0.000318,-0.009256,-0.007252,-0.168499,1.657678,0.184343,0.998704,0.058558,0.180248,0.408507,-0.174348,-1.571402,-0.169752,0.936648,-0.242450,0.128890,-0.301497
-0.000106,0.000046,0.778210,0.006540,0.031931,-0.077026,0.996496,-0.213433,0.189893,0.342967,0.469394,-0.297325,-0.045942,-0.223935,-0.220996,-0.319855,0.430201,-0.313187,0.102140,0.001294,-0.011049,-0.010659,-0.157777,1.643997,0.221825,0.959247,0.090186,0.217754,0.406709,-0.172790,-1.540873,-0.222521,0.890812,-0.300553,0.167381,-0.283491
-0.000439,0.000102,0.778463,0.006915,0.033959,-0.078371,0.996322,-0.215524,0.189912,0.346221,0.465468,-0.295344,-0.045813,-0.226544,-0.219498,-0.317935,0.424248,-0.309821,0.101804,0.002456,-0.012260,-0.013337,-0.143221,1.632713,0.263238,0.931133,0.118377,0.238277,0.401506,-0.158272,-1.510444,-0.276624,0.867300,-0.345707,0.176987,-0.278247
-0.000742,0.000122,0.778777,0.007137,0.035644,-0.079387,0.996181,-0.216641,0.189830,0.348842,0.460615,-0.292878,-0.045740,-0.228132,-0.217897,-0.316755,0.418181,-0.306450,0.101464,0.003259,-0.013081,-0.015474,-0.125557,1.619845,0.306001,0.908277,0.145948,0.249893,0.396358,-0.142474,-1.488239,-0.328845,0.845981,-0.385049,0.180179,-0.267557
-0.001016,0.000108,0.779105,0.007282,0.037052,-0.080119,0.996070,-0.217152,0.189620,0.350901,0.455391,-0.290225,-0.045702,-0.229060,-0.216404,-0.316137,0.412436,-0.303318,0.101159,0.003745,-0.013619,-0.017240,-0.105583,1.606562,0.348677,0.887853,0.173254,0.256188,0.390445,-0.126446,-1.469047,-0.377878,0.826176,-0.419547,0.181803,-0.256215
-0.001255,0.000066,0.779433,0.007411,0.038259,-0.080652,0.995980,-0.217268,0.189245,0.352553,0.450043,-0.287520,-0.045679,-0.229512,-0.215106,-0.315915,0.406972,-0.300431,0.100922,0.003917,-0.013889,-0.018776,-0.084525,1.592866,0.390859,0.868853,0.199190,0.259463,0.383788,-0.110965,-1.451603,-0.423049,0.807936,-0.449745,0.183457,-0.245499
-0.001453,0.000007,0.779774,0.007513,0.039325,-0.080988,0.995911,-0.217013,0.188697,0.353847,0.444397,-0.284688,-0.045661,-0.229396,-0.213944,-0.316102,0.401347,-0.297567,0.100742,0.003819,-0.013919,-0.020198,-0.063461,1.578881,0.431777,0.850490,0.223193,0.261535,0.376172,-0.096814,-1.435553,-0.463835,0.791594,-0.475863,0.185534,-0.234534
-0.001602,-0.000070,0.780148,0.007579,0.040310,-0.081112,0.995861,-0.216309,0.187930,0.354823,0.438065,-0.281536,-0.045644,-0.228587,-0.212790,-0.316831,0.395054,-0.294445,0.100702,0.003531,-0.013761,-0.021598,-0.043132,1.564766,0.470380,0.832092,0.244961,0.263639,0.366945,-0.084917,-1.420847,-0.499917,0.777544,-0.496849,0.187480,-0.222829
-0.001698,-0.000177,0.780551,0.007635,0.041206,-0.081099,0.995825,-0.215159,0.186984,0.355592,0.431181,-0.278119,-0.045661,-0.227086,-0.211577,-0.317967,0.388028,-0.291030,0.100830,0.003029,-0.013434,-0.023109,-0.023867,1.550996,0.505835,0.813528,0.264876,0.266201,0.357341,-0.075539,-1.407921,-0.531177,0.765679,-0.514270,0.188870,-0.211727
-0.001743,-0.000319,0.780940,0.007700,0.042043,-0.081026,0.995795,-0.213856,0.186012,0.356210,0.424317,-0.274681,-0.045779,-0.225380,-0.210422,-0.319181,0.381006,-0.287658,0.100958,0.002305,-0.012930,-0.024771,-0.005547,1.538383,0.537471,0.794976,0.284035,0.269311,0.347965,-0.068288,-1.396694,-0.557838,0.755208,-0.529450,0.189094,-0.202034
